date,open,high,low,close,volume
2023-01-01,386.7243612107812,399.26732137257534,375.0262419465912,389.0622696734093,19981503
2023-01-02,374.0304964955545,387.9071370235936,377.4406150145724,381.0044390591909,18170436
2023-01-03,385.8866953463128,401.39870178547324,385.73684990891445,390.9399856990089,9537243
2023-01-04,404.82869607026134,411.16717803182917,395.44344973863605,399.53515101559407,6551338
2023-01-05,425.92300165918783,422.67246381237175,416.25234235266794,422.1337167198082,16684399
2023-01-06,457.62095706117265,453.8733119282017,444.73317731708977,451.0172871248475,15503630
2023-01-07,457.9908756015053,461.982155275159,435.39692143272276,456.95472588169207,19860221
2023-01-08,456.479405032795,475.6498889263925,447.53254134273544,465.71024317117605,13114890
2023-01-09,465.10043284123293,461.1205744184547,435.6349666955874,459.7722233796766,15700553
2023-01-10,458.7115770051452,454.6459421362994,449.00473171262644,454.4654836154427,16294634
2023-01-11,414.88351329208683,425.90817010606935,416.0329405797955,419.6760538326316,7400011
2023-01-12,396.13676474855134,409.5341536613424,397.9162229717984,401.526632547034,16072430
2023-01-13,380.94013351911826,403.30795164096855,380.63004947298697,384.44472526734927,6872754
2023-01-14,381.77123812305393,388.7673540136397,378.8107422960853,388.50811807972735,17384174
2023-01-15,389.7661982167764,386.7093731842579,381.9462054073823,383.8718906676266,16809599
2023-01-16,411.6094022811089,429.9438092232402,406.8772826274654,415.3397975988529,10207443
2023-01-17,450.496020128495,451.7585313455944,438.2747906449766,448.8658265790815,19245957
2023-01-18,464.9017156859202,473.5320982892945,457.7110443855439,466.1642081689256,15798793
2023-01-19,480.7863780501607,492.6742264229465,479.96604231345316,484.4401447002558,10995643
2023-01-20,504.5710647033932,508.7674750671146,495.13661887419534,506.89098708850906,12959401
2023-01-21,503.3607558050345,522.6143486393167,494.6773024657841,504.23763583011595,13286805
2023-01-22,508.3534394793108,510.30260169603315,495.0327765898601,502.9534349829345,12986349
2023-01-23,486.0825988253273,492.1122455259449,478.62925619976727,484.2678601933877,15479445
2023-01-24,468.0770338888878,478.5992843664205,460.24849023501815,476.40854031333816,5301581
2023-01-25,505.08388011312474,504.43775249547707,485.78071270045456,499.1320407669291,16382979
2023-01-26,506.3350594282384,516.3817277448785,499.7247854267554,501.3605707426785,17921601
2023-01-27,496.1215081232142,501.1207835151305,479.4111933794014,494.54968543082896,8993073
2023-01-28,487.1090014324988,489.2603854629398,488.69636783705675,489.1182120195416,12778437
2023-01-29,493.6653613906897,501.3602597011687,489.5681408233987,491.7201675255651,16831041
2023-01-30,513.6214815804329,521.682315888166,495.09277384908876,515.2103083734589,15859941
2023-01-31,495.3109637352707,496.75455594279526,479.66083038908255,489.4067865874441,5208961
2023-02-01,480.92753595460357,486.8390197295336,478.3851302415988,484.54910699172115,9296985
2023-02-02,506.87527599486543,505.91105231142245,493.82058988301446,502.10650265418445,13128252
