date,open,high,low,close,volume
2023-01-01,28545.33591824435,28146.99743519426,27716.86423459977,28070.26125239773,548813
2023-01-02,26901.41636633435,27531.32046012248,26726.36861993429,26874.22313584883,791964
2023-01-03,26442.502931793566,29076.500762749558,27124.48229364574,27730.58177946499,569755
2023-01-04,28731.259444340565,30402.56672536288,29313.921504258462,29802.800134779813,318405
2023-01-05,29547.619481645488,30456.726856180976,28603.314588325225,29976.570835522733,431784
2023-01-06,27609.27234863968,29025.804674019924,27705.990965915465,28307.896119385336,846139
2023-01-07,27176.67864895097,28616.067374898197,27976.39517375005,28422.31985539804,503312
2023-01-08,26961.86539756865,27805.66215993139,26690.15676620239,27429.504476544924,988658
2023-01-09,25191.97280233957,26241.218759082785,25557.12686653964,25990.029128607883,811865
2023-01-10,28970.696364422132,28044.524130421054,27365.17803278949,27744.419903754828,261279
2023-01-11,28424.186207588373,29928.07072432618,28974.46406884837,29117.66656068749,517296
2023-01-12,33061.17693434997,32104.388930055833,31586.085667925017,31610.399356108366,651400
2023-01-13,29684.07408810009,30809.416782734963,30411.690310935555,30752.721279829286,820522
2023-01-14,31071.108798348083,30363.557915237427,29511.337351638966,30230.95327177398,854373
2023-01-15,27650.341354788485,29272.292925029713,27681.056413888837,28760.534506944783,290135
2023-01-16,24754.522646794707,26395.653699444345,25655.342989747478,25888.740940451717,849685
2023-01-17,26669.962042562413,26505.246612154697,25680.91654206244,26354.529869393114,226520
2023-01-18,25837.798312651943,25342.659070318878,24702.87116578477,24748.489730989342,385037
2023-01-19,27127.842964330044,27127.672410087092,26297.349862874118,26702.768056007473,853920
2023-01-20,24473.41654198218,24898.934968404872,23661.462066194967,24098.828280991427,813150
2023-01-21,23628.56969074286,25336.00853897308,24342.41958462484,24834.509206672992,224672
2023-01-22,24559.39812452597,26227.66471010524,24831.493045851897,25409.74294179841,681667
2023-01-23,28035.224652382745,28604.939475120642,26590.506034924994,26799.21842286209,245231
2023-01-24,26022.703234187742,28629.822110496916,26771.770902182627,26800.875895313722,568617
2023-01-25,29022.093008536904,30136.045904717244,28125.048273562446,28775.781872954944,569196
2023-01-26,29139.39936157339,29780.891666352603,28295.961081045116,28736.753599030726,636326
2023-01-27,27703.672254506386,28835.660440865304,26747.59824394531,27860.12173191445,209465
2023-01-28,27483.872171494753,29178.2230749792,28769.51433358201,28791.597512327622,820003
2023-01-29,28317.052101145906,28252.39498869341,27951.244758052828,28166.52635873435,835308
2023-01-30,28474.425078614982,28446.89312569008,27589.68793968277,27699.018576367023,127080
2023-01-31,28703.389207210374,29315.890333661562,27555.99921776847,28743.577986625573,347457
2023-02-01,31115.87430934416,31178.34937381817,29772.028406125854,29898.003032426008,811293
2023-02-02,30245.753514331358,31431.988729199336,29904.22593492964,31200.278232516615,615346
2023-02-03,30680.826405826647,30399.970814312383,28913.421595034997,29831.20550373953,632096
2023-02-04,29584.62264200788,31354.673597256406,30935.149677193298,30961.73432809326,485307
2023-02-05,32431.675644113955,32639.545344894574,31664.841146673833,31798.49215827768,906765
2023-02-06,35970.541482084285,36316.67484219785,33874.290469717205,36009.02452713455,397886
2023-02-07,33412.434615174476,34702.32861823234,33441.92626962281,34664.58245251771,532536
2023-02-08,38231.49572833997,38202.45224111768,36609.3399437684,36706.35274958359,221707
2023-02-09,33201.26292284124,34244.38029057199,32882.03924523079,33125.79437917762,267180
2023-02-10,33237.5442764444,35375.14531234721,31773.415678900965,34389.74584596575,967717
2023-02-11,32346.271538347417,31629.424987268252,29333.369273984867,31036.35598192632,874022
2023-02-12,32090.289707441934,33049.32716095369,31861.25757182737,32457.8877126125,307509
2023-02-13,32525.611463074416,32753.099822379634,30289.936689693823,31136.720496256046,943213
2023-02-14,26588.59957387994,28158.385097858958,26927.40517134943,27418.32680381296,447677
2023-02-15,29030.907031734278,29726.84082102404,28515.858771554507,29415.63425413934,237034
2023-02-16,29419.525956045916,29543.041945192454,28628.52368531873,29339.88240894345,684720
2023-02-17,31906.99376783735,33395.843611684606,32480.05503578168,32774.1001782027,831697
2023-02-18,35139.070618919155,37900.23328411597,35321.80160217494,35774.05467054308,402613
2023-02-19,36366.738642191536,38503.03865369039,36301.6589647048,36487.66316648688,900699
2023-02-20,36920.28977166157,37555.58506462487,36363.35206845781,36812.02361718207,284382
2023-02-21,41084.21893848481,40813.47906447865,39738.85608948693,40254.68284632803,906611
2023-02-22,42864.72269516854,42854.766127012954,41819.17296099284,41868.57877904884,585051
2023-02-23,37939.80701623738,39386.57454819016,39102.106719278556,39344.71640563352,629835
2023-02-24,39872.35089521838,40410.805958276345,38702.798026213866,39838.60810708036,780863
2023-02-25,43518.24497285196,42957.738075792666,40572.64731713328,41995.20161735602,157895
2023-02-26,40284.68310141348,42852.86694830757,39030.20821028101,41820.81575794456,521999
2023-02-27,42266.09427570019,42713.37884839549,39886.79246830698,41175.20369129115,127601
2023-02-28,42608.09670769257,44973.13809326117,42695.39158754621,43782.4399335992,705190
